train_loss,train_accuracy,test_loss,test_accuracy
2.3,6.45,2.29,7.9
2.29,8.72,2.28,9.74
2.28,10.78,2.27,12.41
2.26,14.53,2.25,16.99
2.24,20.95,2.22,25.85
2.21,33.15,2.18,40.67
2.16,45.27,2.12,51.54
2.08,56.75,2.02,62.44
1.96,64.09,1.87,68.1
1.76,68.18,1.62,70.84
1.49,70.26,1.31,73.2
1.19,74.1,1.03,77.94
0.95,78.31,0.83,81.66
0.79,81.11,0.7,83.45
0.68,82.94,0.61,84.68
0.6,84.48,0.54,85.6
0.54,85.57,0.49,86.64
0.5,86.52,0.46,87.56
0.46,87.08,0.43,88.23
0.44,87.75,0.4,88.76
0.41,88.28,0.38,89.2
0.4,88.67,0.37,89.78
0.38,89.05,0.35,90.13
0.37,89.46,0.34,90.52
0.35,89.81,0.33,90.77
0.34,90.06,0.32,90.92
0.33,90.35,0.31,91.06
0.32,90.62,0.3,91.43
0.31,90.85,0.29,91.74
0.31,91.05,0.28,91.65
0.3,91.22,0.28,92.01
0.29,91.4,0.27,92.11
0.28,91.61,0.26,92.23
0.28,91.79,0.26,92.47
0.27,91.94,0.25,92.65
0.27,92.09,0.25,92.71
0.26,92.3,0.24,92.94
0.26,92.39,0.24,93.05
0.25,92.53,0.23,93.33
0.25,92.68,0.23,93.39
0.24,92.83,0.23,93.38
0.24,92.92,0.22,93.61
0.23,93.1,0.22,93.64
0.23,93.21,0.21,93.89
0.22,93.31,0.21,93.94
0.22,93.45,0.2,93.9
0.22,93.52,0.2,94.07
0.21,93.64,0.2,94.33
0.21,93.71,0.19,94.33
0.21,93.79,0.19,94.53
0.2,94.0,0.19,94.48
0.2,94.05,0.18,94.64
0.2,94.15,0.18,94.82
0.19,94.26,0.18,94.81
0.19,94.37,0.18,94.9
0.19,94.44,0.17,95.05
0.19,94.51,0.17,94.96
0.18,94.58,0.17,95.07
0.18,94.69,0.17,95.18
0.18,94.76,0.16,95.36
0.17,94.83,0.16,95.4
0.17,94.89,0.16,95.42
0.17,95.0,0.16,95.46
0.17,95.08,0.15,95.62
0.17,95.17,0.15,95.68
0.16,95.19,0.15,95.76
0.16,95.24,0.15,95.72
0.16,95.32,0.15,95.85
0.16,95.39,0.14,95.94
0.15,95.44,0.14,95.98
0.15,95.48,0.14,96.04
0.15,95.56,0.14,96.07
0.15,95.63,0.14,96.14
0.15,95.67,0.13,96.22
0.15,95.7,0.13,96.19
0.14,95.76,0.13,96.35
0.14,95.78,0.13,96.31
0.14,95.85,0.13,96.31
0.14,95.92,0.13,96.3
0.14,95.9,0.12,96.41
0.14,96.0,0.12,96.47
0.13,96.03,0.12,96.42
0.13,96.03,0.12,96.51
0.13,96.11,0.12,96.56
0.13,96.18,0.12,96.54
0.13,96.2,0.12,96.62
0.13,96.22,0.12,96.62
0.13,96.28,0.11,96.68
0.12,96.33,0.11,96.59
0.12,96.35,0.11,96.73
0.12,96.41,0.11,96.73
0.12,96.4,0.11,96.76
0.12,96.47,0.11,96.87
0.12,96.51,0.11,96.8
0.12,96.52,0.11,96.92
0.12,96.56,0.11,96.93
0.11,96.59,0.1,96.98
0.11,96.65,0.1,97.06
0.11,96.69,0.1,97.04
0.11,96.68,0.1,97.02
0.11,96.72,0.1,97.01
0.11,96.75,0.1,97.04
0.11,96.79,0.1,97.17
0.11,96.85,0.1,97.12
0.11,96.86,0.1,97.2
0.11,96.87,0.1,97.18
0.1,96.9,0.1,97.21
0.1,96.94,0.09,97.19
0.1,96.96,0.09,97.25
0.1,97.0,0.09,97.21
0.1,97.01,0.09,97.33
0.1,97.02,0.09,97.33
0.1,97.05,0.09,97.33
0.1,97.05,0.09,97.42
0.1,97.09,0.09,97.37
0.1,97.15,0.09,97.42
0.1,97.16,0.09,97.39
0.1,97.17,0.09,97.49
0.09,97.19,0.09,97.56
0.09,97.21,0.09,97.51
0.09,97.24,0.08,97.49
0.09,97.25,0.08,97.52
0.09,97.29,0.08,97.53
0.09,97.29,0.08,97.63
0.09,97.28,0.08,97.69
